"Motif","TFs"
"MA1129.1","fosl1b"
"MA1129.1","fosl1a"
"MA1137.1","fosl1b"
"MA1137.1","fosl1a"
"MA1142.1","fosl1b"
"MA1142.1","fosl1a"
"MA1143.1","fosl1b"
"MA1143.1","fosl1a"
"MA0477.2","fosl1b"
"MA0477.2","fosl1a"
"MA1138.1","fosl2"
"MA1138.1","fosl2l"
"MA1144.1","fosl2"
"MA1144.1","fosl2l"
"MA1131.1","fosl2"
"MA1131.1","fosl2l"
"MA0478.1","fosl2"
"MA0478.1","fosl2l"
"MA1139.1","fosl2"
"MA1139.1","fosl2l"
"MA1130.1","fosl2"
"MA1130.1","fosl2l"
"MA1145.1","fosl2"
"MA1145.1","fosl2l"
"MA0148.4","foxa1"
"MA0047.3","foxa2"
"MA1683.1","foxa3"
"MA0845.1","foxb1a"
"MA0845.1","foxb1b"
"MA0032.2","foxc1a"
"MA0032.2","foxc1b"
"MA0031.1","foxd1"
"MA0847.3","foxd2"
"MA0041.2","foxd3"
"MA1487.2","foxe1"
"MA0030.1","foxf2b"
"MA0030.1","foxf2a"
"MA0613.1","foxg1a"
"MA0479.1","foxh1"
"MA1946.1","foxi1"
"MA0042.2","foxi1"
"MA1942.1","foxi1"
"MA1950.1","foxi1"
"MA1935.1","foxi1"
"MA1952.1","foxj2"
"MA0851.1","foxj3"
"MA0852.2","foxk1"
"MA1103.2","foxk2a"
"MA1103.2","foxk2b"
"MA0033.2","foxl1"
"MA1607.1","foxl2a"
"MA1607.1","foxl2b"
"MA1684.1","foxn1"
"MA1489.1","foxn3"
"MA0480.2","foxo1a"
"MA0480.2","foxo1b"
"MA1947.1","foxo1a"
"MA1947.1","foxo1b"
"MA1953.1","foxo1a"
"MA1953.1","foxo1b"
"MA1955.1","foxo1a"
"MA1955.1","foxo1b"
"MA1956.1","foxo1a"
"MA1956.1","foxo1b"
"MA1954.1","foxo1a"
"MA1954.1","foxo1b"
"MA1936.1","foxo1a"
"MA1936.1","foxo1b"
"MA0157.3","foxo3b"
"MA0157.3","foxo3a"
"MA0848.1","foxo4"
"MA0849.1","foxo6b"
"MA0849.1","foxo6a"
"MA0481.3","foxp1a"
"MA0481.3","foxp1b"
"MA0593.1","foxp2"
"MA0850.1","foxp3b"
"MA0850.1","foxp3a"
"MA0040.1","foxq1a"
"MA0040.1","foxq1b"
"MA0062.3","gabpa"
"MA0035.4","gata1a"
"MA0035.4","gata1b"
"MA0140.2","gata1a"
"MA0140.2","gata1b"
"MA0036.3","gata2a"
"MA0036.3","gata2b"
"MA0037.4","gata3"
"MA0482.2","gata4"
"MA0766.2","gata5"
"MA1104.2","gata6"
"MA0889.1","gbx1"
"MA0890.1","gbx2"
"MA0767.1","gcm2"
"MA0038.2","gfi1aa"
"MA0038.2","gfi1ab"
"MA1990.1","gli1"
"MA0734.3","gli2b"
"MA0734.3","gli2a"
"MA1491.2","gli3"
"MA0735.1","glis1b"
"MA0735.1","glis1a"
"MA0736.1","glis2a"
"MA0736.1","glis2b"
"MA0737.1","glis3"
"MA0615.1","gmeb1"
"MA0862.1","gmeb2"
"MA0647.1","grhl1"
"MA1105.2","grhl2b"
"MA1105.2","grhl2a"
"MA0648.1","gsc"
"MA0892.1","gsx1"
"MA0893.2","gsx2"
"MA1638.1","hand2"
"MA1099.2","her6"
"MA0616.2","hes2.2"
"MA0616.2","hes2.1"
"MA0821.2","her2"
"MA1493.1","hes6"
"MA0822.1","her1"
"MA0822.1","her5"
"MA0894.1","hesx1"
"MA0823.1","hey1"
"MA0649.1","hey2"
"MA0739.1","hic1"
"MA0738.1","hic2"
"MA0259.1","hif1ab"
"MA0259.1","hif1aa"
"MA1106.1","hif1ab"
"MA1106.1","hif1aa"
"MA0131.2","hinfp"
"MA0043.3","hlfa"
"MA0043.3","hlfb"
"MA0895.1","hmbox1b"
"MA0895.1","hmbox1a"
"MA0896.1","hmx1"
"MA0897.1","hmx2"
"MA0898.1","hmx3a"
"MA0898.1","hmx3b"
"MA0046.2","hnf1a"
"MA0153.2","hnf1bb"
"MA0153.2","hnf1ba"
"MA0114.4","hnf4a"
"MA1494.1","hnf4a"
"MA0484.2","hnf4g"
"MA1931.1","hoxa1a"
"MA1495.1","hoxa1a"
"MA0899.1","hoxa10b"
"MA0899.1","hoxa10ap"
"MA0911.1","hoxa11a"
"MA0911.1","hoxa11b"
"MA0650.3","hoxa13b"
"MA0650.3","hoxa13a"
"MA1948.1","hoxa2b"
"MA0900.2","hoxa2b"
"MA1496.1","hoxa4a"
"MA0158.2","hoxa5a"
"MA0594.2","hoxa9a"
"MA0594.2","hoxa9b"
"MA0901.2","hoxb13a"
"MA1937.1","hoxb13a"
"MA1943.1","hoxb13a"
"MA1932.1","hoxb13a"
"MA1957.1","hoxb2a"
"MA0902.2","hoxb2a"
"MA0903.1","hoxb3a"
"MA1499.1","hoxb4a"
"MA0904.2","hoxb5a"
"MA0904.2","hoxb5b"
"MA1500.1","hoxb6a"
"MA1500.1","hoxb6b"
"MA1501.1","hoxb7a"
"MA1502.1","hoxb8a"
"MA1502.1","hoxb8b"
"MA1503.1","hoxb9a"
"MA0905.1","hoxc10a"
"MA0651.2","hoxc11b"
"MA0651.2","hoxc11a"
"MA0906.1","hoxc12a"
"MA0906.1","hoxc12b"
"MA0907.1","hoxc13a"
"MA0907.1","hoxc13b"
"MA1504.1","hoxc4a"
"MA1505.1","hoxc8a"
"MA0485.2","hoxc9a"
"MA1506.1","hoxd10a"
"MA0908.1","hoxd11a"
"MA0873.1","hoxd12a"
"MA1958.1","hoxd12a"
"MA0909.3","hoxd13a"
"MA0912.2","hoxd3a"
"MA1507.1","hoxd4a"
"MA0913.2","hoxd9a"
"MA0486.2","hsf1"
"MA0770.1","hsf2"
"MA0771.1","hsf4"
"MA1508.1","ikzf1"
"MA0155.1","insm1a"
"MA0155.1","insm1b"
"MA0050.3","irf1a"
"MA0050.3","irf1b"
"MA0051.1","irf2a"
"MA0051.1","irf2"
"MA1418.1","irf3"
"MA1419.1","irf4a"
"MA1419.1","irf4b"
"MA1420.1","irf5"
"MA1509.1","irf6"
"MA0772.1","irf7"
"MA0652.1","irf8"
"MA0653.1","irf9"
"MA1608.1","isl1b"
"MA1608.1","isl1a"
"MA0914.1","isl2a"
"MA0914.1","isl2b"
"MA0656.1","jdp2b"
"MA0656.1","jdp2a"
"MA0655.1","jdp2b"
"MA0655.1","jdp2a"
"MA0489.2","jun"
"MA1128.1","jun"
"MA1127.1","jun"
"MA1126.1","jun"
"MA0099.3","jun"
"MA1130.1","jun"
"MA1132.1","jun"
"MA1129.1","jun"
"MA1133.1","jun"
"MA1131.1","jun"
"MA0462.2","jun"
"MA0488.1","jun"
"MA1134.1","junba"
"MA1134.1","junbb"
"MA1132.1","junba"
"MA1132.1","junbb"
"MA1138.1","junba"
"MA1138.1","junbb"
"MA1133.1","junba"
"MA1133.1","junbb"
"MA1139.1","junba"
"MA1139.1","junbb"
"MA1137.1","junba"
"MA1137.1","junbb"
"MA1135.1","junba"
"MA1135.1","junbb"
"MA0490.2","junba"
"MA0490.2","junbb"
"MA1140.2","junba"
"MA1140.2","junbb"
"MA1136.1","junba"
"MA1136.1","junbb"
"MA1143.1","jund"
"MA1145.1","jund"
"MA1142.1","jund"
"MA0492.1","jund"
"MA1141.1","jund"
"MA1144.1","jund"
"MA0491.2","jund"
"MA0493.2","klf1"
"MA1511.2","klf10"
"MA1512.1","klf11a"
"MA1512.1","klf11b"
"MA0742.2","klf12a"
"MA0742.2","klf12b"
"MA0657.1","klf13"
"MA1513.1","klf15"
"MA1514.1","klf17"
"MA1515.1","klf2b"
"MA1515.1","klf2a"
"MA1516.1","klf3"
"MA0039.4","klf4"
"MA0599.1","klf5b"
"MA0599.1","klf5a"
"MA1517.1","klf6b"
"MA1517.1","klf6a"
"MA1959.1","klf7b"
"MA1959.1","klf7a"
"MA1107.2","klf9"
"MA0618.1","lbx1a"
"MA0618.1","lbx1b"
"MA0699.1","lbx2"
"MA0768.2","lef1"
"MA1518.2","lhx1b"
"MA1518.2","lhx1a"
"MA0700.2","lhx2b"
"MA0700.2","lhx2a"
"MA0135.1","lhx3"
"MA0704.1","lhx4"
"MA1519.1","lhx5"
"MA0658.1","lhx6a"
"MA0658.1","lhx6b"
"MA0705.1","lhx8a"
"MA0705.1","lhx8b"
"MA0701.2","lhx9"
"MA0619.1","lin54"
"MA0702.2","lmx1a"
"MA0703.2","lmx1ba"
"MA0703.2","lmx1bb"
"MA1520.1","mafb"
"MA1520.1","mafa"
"MA0501.1","mafb"
"MA0501.1","mafa"
"MA1521.1","mafaa"
"MA0117.2","mafba"
"MA0495.3","maff"
"MA0659.3","mafgb"
"MA0659.3","mafga"
"MA0089.2","mafgb"
"MA0089.2","mafga"
"MA0591.1","mafk"
"MA0496.3","mafk"
"MA0058.3","max"
"MA0059.1","max"
"MA1522.1","maza"
"MA1522.1","mazb"
"MA0052.4","mef2aa"
"MA0052.4","mef2ab"
"MA0660.1","mef2b"
"MA0497.1","mef2cb"
"MA0497.1","mef2ca"
"MA0773.1","mef2d"
"MA1639.1","meis1b"
"MA1639.1","meis1a"
"MA0498.2","meis1b"
"MA0498.2","meis1a"
"MA0774.1","meis2a"
"MA0774.1","meis2b"
"MA1640.1","meis2a"
"MA1640.1","meis2b"
"MA0661.1","meox1"
"MA0706.1","meox2b"
"MA0706.1","meox2a"
"MA0801.1","mgab"
"MA0801.1","mgaa"
"MA1960.1","mgab"
"MA1960.1","mgaa"
"MA0620.3","mitfa"
"MA0620.3","mitfb"
"MA0662.1","mixl1"
"MA0663.1","mlx"
"MA0664.1","mlxipl"
"MA0825.1","mntb"
"MA0825.1","mnta"
"MA0707.2","mnx1"
"MA0665.1","msc"
"MA1524.2","msgn1"
"MA0666.2","msx1a"
"MA0708.2","msx2a"
"MA0708.2","msx2b"
"MA0709.1","msx3"
"MA0709.1","msx1b"
"MA0863.1","mtf1"
"MA1108.2","mxi1"
"MA0100.3","myb"
"MA0776.1","mybl1"
"MA0777.1","mybl2a"
"MA0777.1","mybl2b"
"MA0147.3","mycb"
"MA0147.3","myca"
"MA0059.1","mycb"
"MA0059.1","myca"
"MA0104.4","mycn"
"MA1641.1","myf5"
"MA0667.1","myf6"
"MA0499.2","myod1"
"MA0500.2","myog"
"MA1109.1","neurod1"
"MA1993.1","neurod2"
"MA0668.2","neurod2"
"MA0623.2","neurog1"
"MA0606.2","nfat5a"
"MA0606.2","nfat5b"
"MA0624.2","nfatc1"
"MA0152.2","nfatc2a"
"MA0625.2","nfatc3a"
"MA0625.2","nfatc3b"
"MA1525.2","nfatc4"
"MA0841.1","nfe2"
"MA0501.1","nfe2"
"MA0089.2","nfe2l1b"
"MA0089.2","nfe2l1a"
"MA0150.2","nfe2l2a"
"MA0670.1","nfia"
"MA1527.1","nfic"
"MA0119.1","nfic"
"MA0161.2","nfic"
"MA0025.2","nfil3"
"MA1528.1","nfixa"
"MA1528.1","nfixb"
"MA0671.1","nfixa"
"MA0671.1","nfixb"
"MA0105.4","nfkb1"
"MA0778.1","nfkb2"
"MA0502.2","nfyba"
"MA0502.2","nfybb"
"MA1644.1","nfyc"
"MA1529.1","nhlh2"
"MA1994.1","nkx2.1"
"MA1645.1","nkx2.2a"
"MA1645.1","nkx2.2b"
"MA0672.1","nkx2.3"
"MA2003.1","nkx2.4b"
"MA2003.1","nkx2.4a"
"MA0063.2","nkx2.5"
"MA0124.2","nkx3-1"
"MA0122.3","nkx3-2"
"MA0674.1","nkx6.1"
"MA0675.1","nkx6.2"
"MA1530.1","nkx6.3"
"MA0125.1","nobox"
"MA0710.1","noto"
"MA0626.1","npas2"
"MA1995.1","npas4b"
"MA1995.1","npas4a"
"MA1531.1","nr1d1"
"MA1532.2","nr1d2a"
"MA1532.2","nr1d2b"
"MA0494.1","nr1h3"
"MA1146.1","nr1h4"
"MA1533.1","nr1i2"
"MA1535.1","nr2c1"
"MA1536.1","nr2c2"
"MA0504.1","nr2c2"
"MA0676.1","nr2e1"
"MA0164.1","nr2e3"
"MA1538.1","nr2f1a"
"MA1538.1","nr2f1b"
"MA1537.1","nr2f1a"
"MA1537.1","nr2f1b"
"MA0017.2","nr2f1a"
"MA0017.2","nr2f1b"
"MA1111.1","nr2f2"
"MA0677.1","nr2f6a"
"MA0677.1","nr2f6b"
"MA1539.1","nr2f6b"
"MA1539.1","nr2f6a"
"MA0113.3","nr3c1"
"MA0727.1","nr3c2"
"MA1112.2","nr4a1"
"MA1147.1","nr4a2a"
"MA1147.1","nr4a2b"
"MA0160.2","nr4a2a"
"MA0160.2","nr4a2b"
"MA1540.2","nr5a1a"
"MA1540.2","nr5a1b"
"MA1541.1","nr6a1a"
"MA1541.1","nr6a1b"
"MA0506.2","nrf1"
"MA0842.2","nrl"
"MA0826.1","olig1"
"MA1997.1","olig2"
"MA0678.1","olig2"
"MA0827.1","olig3"
"MA0679.2","onecut1"
"MA0679.2","onecutl"
"MA0756.2","onecut2"
"MA0757.1","onecut3b"
"MA0757.1","onecut3a"
"MA1542.1","osr1"
"MA1646.1","osr2"
"MA0711.1","otx1"
"MA0712.2","otx2b"
"MA1544.1","ovol1a"
"MA1961.1","patz1"
"MA0779.1","pax1a"
"MA0779.1","pax1b"
"MA0067.2","pax2b"
"MA0067.2","pax2a"
"MA1546.1","pax3a"
"MA1546.1","pax3b"
"MA0780.1","pax3a"
"MA0780.1","pax3b"
"MA0068.2","pax4"
"MA0014.3","pax5"
"MA0069.1","pax6b"
"MA0069.1","pax6a"
"MA0680.2","pax7a"
"MA0680.2","pax7b"
"MA0781.1","pax9"
"MA0070.1","pbx1a"
"MA0070.1","pbx1b"
"MA1113.2","pbx2"
"MA1114.1","pbx3b"
"MA1114.1","pbx3a"
"MA0132.2","pdx1"
"MA0713.1","phox2a"
"MA0681.2","phox2ba"
"MA0681.2","phox2bb"
"MA0682.2","pitx1"
"MA1547.2","pitx2"
"MA0714.1","pitx3"
"MA0782.2","pknox1.2"
"MA0782.2","pknox1.1"
"MA0783.1","pknox2"
"MA0163.1","plag1"
"MA1548.1","plagl2"
"MA0784.2","pou1f1"
"MA0785.1","pou2f1a"
"MA0785.1","pou2f1b"
"MA1962.1","pou2f1a"
"MA1962.1","pou2f1b"
"MA0507.2","pou2f2b"
"MA0507.2","pou2f2a"
"MA0627.2","pou2f3"
"MA0786.1","pou3f1"
"MA0787.1","pou3f2a"
"MA0787.1","pou3f2b"
"MA0788.1","pou3f3b"
"MA0788.1","pou3f3a"
"MA0790.1","pou4f1"
"MA0683.1","pou4f2"
"MA0791.1","pou4f3"
"MA0628.1","pou6f1"
"MA1549.1","pou6f1"
"MA0793.1","pou6f2"
"MA1148.1","pparaa"
"MA1148.1","pparab"
"MA1550.1","pparda"
"MA1550.1","ppardb"
"MA0065.2","pparg"
"MA0066.1","pparg"
"MA0508.3","prdm1c"
"MA0508.3","prdm1b"
"MA0508.3","prdm1a"
"MA1998.1","prdm14"
"MA1999.1","prdm5"
"MA1723.1","prdm9"
"MA0715.1","prop1"
"MA0794.1","prox1a"
"MA0716.1","prrx1b"
"MA0716.1","prrx1a"
"MA1618.1","ptf1a"
"MA0159.1","rarab"
"MA0159.1","raraa"
"MA0729.1","rarab"
"MA0729.1","raraa"
"MA0730.1","rarab"
"MA0730.1","raraa"
"MA1149.1","rarab"
"MA1149.1","raraa"
"MA0860.1","rarga"
"MA0860.1","rargb"
"MA0859.1","rarga"
"MA0859.1","rargb"
"MA1553.1","rargb"
"MA1553.1","rarga"
"MA0718.1","rx3"
"MA0718.1","rx2"
"MA0718.1","rx1"
"MA1116.1","rbpja"
"MA1116.1","rbpjb"
"MA1621.1","rbpjl"
"MA0101.1","rel"
"MA0107.1","rela"
"MA1117.1","relb"
"MA0138.2","rest"
"MA0509.3","rfx1b"
"MA0509.3","rfx1a"
"MA0600.2","rfx2"
"MA0798.3","rfx3"
"MA0799.2","rfx4"
"MA0510.2","rfx5"
"MA1724.1","rfx6"
"MA1554.1","rfx7a"
"MA1554.1","rfx7b"
"MA0071.1","roraa"
"MA0071.1","rorab"
"MA0072.1","roraa"
"MA0072.1","rorab"
"MA1150.1","rorb"
"MA1151.1","rorcb"
"MA1151.1","rorc"
"MA1151.1","rorca"
"MA0073.1","rreb1a"
"MA0073.1","rreb1b"
"MA0002.2","runx1"
"MA0511.2","runx2a"
"MA0511.2","runx2b"
"MA0684.2","runx3"
"MA0494.1","rxrab"
"MA0494.1","rxraa"
"MA0065.2","rxrab"
"MA0065.2","rxraa"
"MA0512.2","rxrab"
"MA0512.2","rxraa"
"MA0159.1","rxraa"
"MA0159.1","rxrab"
"MA0074.1","rxraa"
"MA0074.1","rxrab"
"MA0115.1","rxraa"
"MA0115.1","rxrab"
"MA1148.1","rxraa"
"MA1148.1","rxrab"
"MA1147.1","rxraa"
"MA1147.1","rxrab"
"MA1146.1","rxraa"
"MA1146.1","rxrab"
"MA1555.1","rxrba"
"MA1555.1","rxrbb"
"MA0855.1","rxrba"
"MA0855.1","rxrbb"
"MA1149.1","rxrgb"
"MA1149.1","rxrga"
"MA0856.1","rxrgb"
"MA0856.1","rxrga"
"MA1556.1","rxrgb"
"MA1556.1","rxrga"
"MA1963.1","satb1b"
"MA1963.1","satb1a"
"MA0743.2","scrt1b"
"MA0743.2","scrt1a"
"MA0744.2","scrt2"
"MA0630.1","shox"
"MA0720.1","shox2"
"MA1118.1","six1a"
"MA1118.1","six1b"
"MA1119.1","six2b"
"MA1119.1","six2a"
"MA0631.1","six3a"
"MA0631.1","six3b"
"MA2001.1","six4b"
"MA2001.1","six4a"
"MA1964.1","smad2"
"MA0795.1","smad3a"
"MA0795.1","smad3b"
"MA1153.1","smad4a"
"MA1153.1","smad4b"
"MA1557.1","smad5"
"MA1558.1","snai1b"
"MA1558.1","snai1a"
"MA0745.2","snai2"
"MA1559.1","snai3"
"MA0870.1","sox1a"
"MA0870.1","sox1b"
"MA0442.2","sox10"
"MA0869.2","sox11b"
"MA0869.2","sox11a"
"MA1561.1","sox12"
"MA1120.1","sox13"
"MA1562.1","sox14"
"MA1152.1","sox19b"
"MA1152.1","sox19a"
"MA0078.2","sox17"
"MA1563.2","sox18"
"MA0142.1","sox2"
"MA1962.1","sox2"
"MA0143.4","sox2"
"MA0866.1","sox21b"
"MA0866.1","sox21a"
"MA0514.2","sox3"
"MA0867.2","sox4a"
"MA0867.2","sox4b"
"MA0087.2","sox5"
"MA0515.1","sox6"
"MA0868.2","sox8a"
"MA0868.2","sox8b"
"MA0077.1","sox9b"
"MA0077.1","sox9a"
"MA0079.5","sp1"
"MA0516.3","sp2"
"MA0746.2","sp3b"
"MA0746.2","sp3a"
"MA0685.2","sp4"
"MA1965.1","sp5b"
"MA1965.1","sp5a"
"MA0747.1","sp8a"
"MA0747.1","sp8b"
"MA1564.1","sp9"
"MA0686.1","spdef"
"MA0080.6","spi1a"
"MA0080.6","spi1b"
"MA0687.1","spic"
"MA0829.2","srebf1"
"MA0595.1","srebf1"
"MA1933.1","srebf2"
"MA0828.2","srebf2"
"MA1939.1","srebf2"
"MA0596.1","srebf2"
"MA0083.3","srfb"
"MA0083.3","srfa"
"MA0137.3","stat1b"
"MA0137.3","stat1a"
"MA0517.1","stat1b"
"MA0517.1","stat1a"
"MA1623.1","stat2"
"MA0517.1","stat2"
"MA0144.2","stat3"
"MA0518.1","stat4"
"MA0519.1","stat5a"
"MA0519.1","stat5b"
"MA1624.1","stat5a"
"MA1624.1","stat5b"
"MA0519.1","stat5b"
"MA0519.1","stat5a"
"MA1625.1","stat5b"
"MA1625.1","stat5a"
"MA0520.1","stat6"
"MA0140.2","tal1"
"MA0091.1","tal1"
"MA0108.2","tbp"
"MA0802.1","tbr1b"
"MA0802.1","tbr1a"
"MA0805.1","tbx1"
"MA0803.1","tbx15"
"MA1565.1","tbx18"
"MA0804.1","tbx19"
"MA0688.1","tbx2a"
"MA0688.1","tbx2b"
"MA0689.1","tbx20"
"MA0690.2","tbx21"
"MA1566.2","tbx3a"
"MA1566.2","tbx3b"
"MA0806.1","tbx4"
"MA0807.1","tbx5b"
"MA0807.1","tbx5a"
"MA1567.2","tbx6"
"MA1567.2","tbx16l"
"MA0009.2","tbxtb"
"MA0009.2","tbxta"
"MA0521.2","tcf12"
"MA1648.1","tcf12"
"MA0832.1","tcf21"
"MA1568.1","tcf21"
"MA0092.1","tcf3a"
"MA0092.1","tcf3b"
"MA0522.3","tcf3b"
"MA0522.3","tcf3a"
"MA0091.1","tcf3b"
"MA0091.1","tcf3a"
"MA0830.2","tcf4"
"MA0769.2","tcf7"
"MA1421.1","tcf7l1a"
"MA1421.1","tcf7l1b"
"MA0523.1","tcf7l2"
"MA0090.3","tead1a"
"MA0090.3","tead1b"
"MA0808.1","tead3b"
"MA0808.1","tead3a"
"MA0809.2","tead4"
"MA0843.1","tefa"
"MA0843.1","tefb"
"MA0872.1","tfap2a"
"MA0810.1","tfap2a"
"MA0003.4","tfap2a"
"MA0811.1","tfap2b"
"MA0813.1","tfap2b"
"MA0812.1","tfap2b"
"MA0815.1","tfap2c"
"MA0524.2","tfap2c"
"MA0814.2","tfap2c"
"MA1569.1","tfap2e"
"MA1570.1","tfap4"
"MA1966.1","tfap4"
"MA0691.1","tfap4"
"MA1967.1","tfap4"
"MA1968.1","tfcp2"
"MA0145.2","tfcp2l1"
"MA1122.1","tfdp1b"
"MA1122.1","tfdp1a"
"MA0831.3","tfe3a"
